Authors	Source Title	Times Cited, WoS Core
Matsubara, S	JOURNAL OF EXPERIMENTAL BOTANY	24
"Kreysing, E; Hassani, H; Hampe, N; Offenhäusser, A"	ACS NANO	37
Haidenbauer, J	INTERNATIONAL CONFERENCE ON EXOTIC ATOMS AND RELATED TOPICS - EXA2017	2
"Leng, W; Pillai, R; Huczkowski, P; Naumenko, D; Quadakkers, WJ"	SURFACE & COATINGS TECHNOLOGY	14
"Kampmann, P; Ludhova, L"	HYPERFINE INTERACTIONS	0
"Möller, S; Kuhn, B; Rayaprolu, R; Heuer, S; Rasinski, M; Kreter, A"	NUCLEAR MATERIALS AND ENERGY	9
Prencipe, E	ACTA PHYSICA POLONICA B PROCEEDINGS SUPPLEMENT	1
"Bühler, J; von Lieres, E; Huber, GJ"	FRONTIERS IN PLANT SCIENCE	3
"Keppel, M; Davoudi, E; Gätgens, C; Frunzke, J"	FRONTIERS IN MICROBIOLOGY	15
"Tellmann, L; Herzog, H; Boers, F; Lerche, C; Shah, NJ"	EJNMMI RESEARCH	5
"Brandt, F; Klinkenberg, M; Poonoosamy, J; Weber, J; Bosbach, D"	MINERALS	13
Ströher, H	INTERNATIONAL CONFERENCE ON EXOTIC ATOMS AND RELATED TOPICS - EXA2017	0
"Feuerbacher, M; Lienig, T; Thomas, C"	SCRIPTA MATERIALIA	80
"Singh, A; Turan, B; Haas, S; Lambertz, A; Ding, KN; Rau, U"	JOURNAL OF LASER MICRO NANOENGINEERING	1
Aeberhard, U	JOURNAL OF PHYSICS D-APPLIED PHYSICS	20
"Abaurrea Velasco, C; Abkenar, M; Gompper, G; Auth, T"	PHYSICAL REVIEW E	12
"Schmitz, D; Amunts, K; Lippert, T; Axer, M"	2018 IEEE 15TH INTERNATIONAL SYMPOSIUM ON BIOMEDICAL IMAGING (ISBI 2018)	7
"Theorell, A; Nöh, K"	IFAC PAPERSONLINE	1
"Frey, CE; Fang, QP; Sebold, D; Blum, L; Menzler, NH"	JOURNAL OF THE ELECTROCHEMICAL SOCIETY	52
"Wulf, C; Werker, J; Zapp, P; Schreiber, A; Schlör, H; Kuckshinrichs, W"	25TH CIRP LIFE CYCLE ENGINEERING (LCE) CONFERENCE	52
"Loomba, V; Huber, G; von Lieres, E"	BIOTECHNOLOGY FOR BIOFUELS	17
"Fang, QP; Frey, CE; Menzler, NH; Blum, L"	JOURNAL OF THE ELECTROCHEMICAL SOCIETY	67
Redchuk, M	CONFERENCE ON NEUTRINO AND NUCLEAR PHYSICS (CNNP2017)	0
"Wulf, C; Linssen, J; Zapp, P"	12TH INTERNATIONAL RENEWABLE ENERGY STORAGE CONFERENCE, IRES 2018	153
"Liu, Y; Baumann, S; Schulze-Küppers, F; Mueller, DN; Guillon, O"	JOURNAL OF THE EUROPEAN CERAMIC SOCIETY	29
"Martynova, Y; Freisinger, M; Kreter, A; Göths, B; Möller, S; Terra, A; Matveev, D; Rasinski, M; Unterberg, B; Brezinsek, S; Linsmeier, C"	NUCLEAR MATERIALS AND ENERGY	2
"Wang, JH; Bogena, HR; Vereecken, H; Brüggemann, N"	VADOSE ZONE JOURNAL	17
"Kleefeld, A; Pieronek, L"	INVERSE PROBLEMS	13
"Quade, M; Brüggemann, N; Graf, A; Vanderborght, J; Vereecken, H; Rothfuss, Y"	WATER RESOURCES RESEARCH	20
"Fischer, T; Kuhn, B"	INTERNATIONAL JOURNAL OF FATIGUE	15
"Heinrichs, V; Dieluweit, S; Stellbrink, J; Pyckhout-Hintzen, W; Hersch, N; Richter, D; Merkel, R"	PLOS ONE	21
"Demir, F; Niedermaier, S; Villamor, JG; Huesgen, PF"	NEW PHYTOLOGIST	24
"Kleefeld, A; Pieronek, L"	INVERSE PROBLEMS	21
"Narimani, K; Trellenkamp, S; Tiedemann, A; Mantl, S; Zhao, QT"	APPLIED SCIENCES-BASEL	6
"Poshyvailo, L; Müller, R; Konopka, P; Günther, G; Riese, M; Podglajen, A; Ploeger, F"	ATMOSPHERIC CHEMISTRY AND PHYSICS	17
"Guzman, RE; Fahlke, C"	JOURNAL OF PHYSIOLOGY-LONDON	2
"Eisenstecken, T; Hornung, R; Winkler, RG; Gompper, G"	EPL	11
"Meier, A; Tunger, D"	PLOS ONE	14
"Röllen, K; Granzin, J; Batra-Safferling, R; Stadler, AM"	PLOS ONE	15
Köbler, U	ACTA PHYSICA POLONICA A	2
"Kolasinac, R; Kleusch, C; Braun, T; Merkel, R; Csiszár, A"	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	70
"von Boeselager, RF; Pfeifer, E; Frunzke, J"	SCIENTIFIC REPORTS	11
Stadler, AM	PROCEEDINGS OF THE JOINT CONFERENCE ON QUASIELASTIC NEUTRON SCATTERING AND THE WORKSHOP ON INELASTIC NEUTRON SPECTROMETERS (QENS/WINS 2016): PROBING NANOSCALE DYNAMICS IN ENERGY RELATED MATERIALS	0
"Stassen, R; Breitkreutz, B; Shurkhno, N"	9TH INTERNATIONAL PARTICLE ACCELERATOR CONFERENCE (IPAC18)	1
Karger, CR	AGING & MENTAL HEALTH	4
Prencipe, E	FAIRNESS 2017: FAIR NEXT GENERATION SCIENTISTS 2017	0
"Theers, M; Westphal, E; Qi, K; Winkler, RG; Gompper, G"	SOFT MATTER	107
"Morosov, X; Davoudi, CF; Baumgart, M; Brocker, M; Bott, M"	JOURNAL OF BIOLOGICAL CHEMISTRY	14
"Das, S; Gompper, G; Winkler, RG"	NEW JOURNAL OF PHYSICS	120
"Kranz, A; Steinmann, A; Degner, U; Mengus-Kaya, A; Matamouros, S; Bott, M; Polen, T"	BMC GENOMICS	4
"Mattauch, S; Koutsioubas, A; Rücker, U; Korolkov, D; Fracassi, V; Daemen, J; Schmitz, R; Bussmann, K; Suxdorf, F; Wagener, M; Kämmerling, P; Kleines, H; Fleischhauer-Fuss, L; Bednareck, M; Ossoviy, V; Nebel, A; Stronciwilk, P; Staringer, S; Gödel, M; Richter, A; Kusche, H; Kohnke, T; Ioffe, A; Babcock, E; Salhi, Z; Bruckel, T"	JOURNAL OF APPLIED CRYSTALLOGRAPHY	48
"Dickheuer, S; Marchuk, O; Ertmer, S; Goriaev, A; Ialovega, M; Göths, B; Krasikov, Y; Mertens, P; Kreter, A"	NUCLEAR MATERIALS AND ENERGY	4
"Kelter, M; Huisman, JA; Zimmermann, E; Vereecken, H"	JOURNAL OF APPLIED GEOPHYSICS	13
"Duman, Ö; Isele-Holder, RE; Elgeti, J; Gompper, G"	SOFT MATTER	70
"Qaim, SM; Spahn, I"	JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS	38
"Wippermann, K; Giffin, J; Korte, C"	JOURNAL OF THE ELECTROCHEMICAL SOCIETY	30
"De Sio, S; July, C; Dhont, JKG; Lang, PR"	SOFT MATTER	4
"Cormann, KU; Baumgart, M; Bott, M"	ACS SYNTHETIC BIOLOGY	4
Frielinghaus, H	NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT	9
"Martín-Gómez, A; Gompper, G; Winkler, RG"	POLYMERS	26
"Kallscheuer, N; Marienhagen, J"	MICROBIAL CELL FACTORIES	57
"Andresen, E; Chraibi, M; Seyfried, A"	TRANSPORTMETRICA A-TRANSPORT SCIENCE	20
Kallscheuer, N	FRONTIERS IN MICROBIOLOGY	41
"Meermann, B; Nischwitz, V"	JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY	154
"dos Santos, FJ; Dias, MD; Guimaraes, FSM; Bouaziz, J; Lounis, S"	PHYSICAL REVIEW B	31
"Fernandes, IL; Bouaziz, J; Blügel, S; Lounis, S"	NATURE COMMUNICATIONS	59
"Chaves, G; Bungert-Plümke, S; Franzen, A; Musset, B"	BIOPHYSICAL JOURNAL	1
"Jia, HY; Zimmermann, B; Blügel, S"	PHYSICAL REVIEW B	32
"Lüpke, F; Cuma, D; Korte, S; Cherepanov, V; Voigtländer, B"	JOURNAL OF PHYSICS-CONDENSED MATTER	8
Hanhart, C	PROCEEDINGS OF THE 21ST PARTICLES AND NUCLEI INTERNATIONAL CONFERENCE (PANIC 2017)	3
"Elsheikh, A; Wiechert, W"	MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS	2
"Dashjav, E; Ma, QL; Xu, Q; Tsai, CL; Giarola, M; Mariotto, G; Tietz, F"	SOLID STATE IONICS	45
"Berkes, F; Houben, N; Bundke, U; Franke, H; Pätz, HW; Rohrer, F; Wahner, A; Petzold, A"	ATMOSPHERIC MEASUREMENT TECHNIQUES	7
"Brdar, S; Seifert, A"	JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS	37
"von Hebel, C; Matveeva, M; Verweij, E; Rademske, P; Kaufmann, MS; Brogi, C; Vereecken, H; Rascher, U; van der Kruk, J"	GEOPHYSICAL RESEARCH LETTERS	28
"Arampatzis, G; Panagopoulos, A; Pisinaras, V; Tziritis, E; Wendland, F"	APPLIED WATER SCIENCE	8
"Beez, A; Schiemann, K; Menzler, NH; Bram, M"	FRONTIERS IN ENERGY RESEARCH	13
"Bogena, HR; Montzka, C; Huisman, JA; Graf, A; Schmidt, M; Stockinger, M; von Hebel, C; Hendricks-Franssen, HJ; van der Kruk, J; Tappe, W; Lücke, A; Baatz, R; Bol, R; Groh, J; Pütz, T; Jakobi, J; Kunkel, R; Sorg, J; Vereecken, H"	VADOSE ZONE JOURNAL	90
"Bouaziz, J; Dias, MD; Guimaraes, FSM; Blügel, S; Lounis, S"	PHYSICAL REVIEW B	4
"Schnepf, A; Leitner, D; Landl, M; Lobet, G; Mai, TH; Morandage, S; Sheng, C; Zörner, M; Vanderborght, J; Vereecken, H"	ANNALS OF BOTANY	95
"Zolnierczuk, PA; Holderer, O; Monkenbusch, M"	PROCEEDINGS OF THE JOINT CONFERENCE ON QUASIELASTIC NEUTRON SCATTERING AND THE WORKSHOP ON INELASTIC NEUTRON SPECTROMETERS (QENS/WINS 2016): PROBING NANOSCALE DYNAMICS IN ENERGY RELATED MATERIALS	3
"Brinker, S; Dias, MD; Lounis, S"	PHYSICAL REVIEW B	4
"Zhang, YL; Mack, DE; Mauer, G; Vassen, R"	COATINGS	7
"Caciuc, V; Atodiresei, N; Blügel, S"	PHYSICAL REVIEW MATERIALS	6
"Zydelis, R; Weihermüller, L; Herbst, M; Klosterhalfen, A; Lazauskas, S"	AGRICULTURAL AND FOREST METEOROLOGY	18
"Pisinaras, V; Panagopoulos, A; Herrmann, F; Bogena, HR; Doulgeris, C; Ilias, A; Tziritis, E; Wendland, F"	VADOSE ZONE JOURNAL	12
Buchenau, U	JOURNAL OF CHEMICAL PHYSICS	8
Buchenau, U	JOURNAL OF CHEMICAL PHYSICS	3
"Urbanek, B; Gross, S; Wirth, M; Rolf, C; Krämer, M; Voigt, C"	GEOPHYSICAL RESEARCH LETTERS	18
"Giesen, M; Jugovac, M; Zamborlini, G; Feyer, V; Gunkel, F; Mueller, DN"	THIN SOLID FILMS	7
"Vögele, S; Kunz, P; Rübbelke, D; Stahlke, T"	ENERGY SUSTAINABILITY AND SOCIETY	36
"Neumann, A; Klinkenberg, M; Curtius, H"	MATERIALS	1
"Lelie, M; Braun, T; Knips, M; Nordmann, H; Ringbeck, F; Zappen, H; Sauer, DU"	APPLIED SCIENCES-BASEL	136
"Markewitz, P; Robinius, M; Stolten, D"	ENERGIES	12
"Pintsuk, G; Antusch, S; Weingaertner, T; Wirtz, M"	INTERNATIONAL JOURNAL OF REFRACTORY METALS & HARD MATERIALS	24
"Morschett, H; Loomba, V; Huber, G; Wiechert, W; von Lieres, E; Oldiges, M"	FEMS MICROBIOLOGY LETTERS	4
"Singh, SP; Gompper, G; Winkler, RG"	JOURNAL OF CHEMICAL PHYSICS	18
"Arsova, B; Watt, M; Usadel, B"	FRONTIERS IN PLANT SCIENCE	34
"Lian, SJ; Dai, Y; von Helden, L; Schwarzkopf, J; Wördenweber, R"	APPLIED PHYSICS LETTERS	7
"Weikamp, M; Hüter, C; Spatschek, R"	METALS	7
"da Silva, GC; Mayrhofer, KJJ; Ticianelli, EA; Cherevko, S"	JOURNAL OF THE ELECTROCHEMICAL SOCIETY	35
"Montzka, C; Rötzer, K; Bogena, HR; Sanchez, N; Vereecken, H"	REMOTE SENSING	50
"Szász, J; Wankmüller, F; Wilde, V; Störmer, H; Gerthsen, D; Menzler, NH; Ivers-Tiffée, E"	JOURNAL OF THE ELECTROCHEMICAL SOCIETY	50
"Zhu, YJ; Kaufmann, M"	GEOPHYSICAL RESEARCH LETTERS	17
"Kickulies, M; Bessler, Y; Lee, Y; Lyngh, D"	22ND MEETING OF THE INTERNATIONAL COLLABORATION ON ADVANCED NEUTRON SOURCES (ICANS XXII)	1
"Tao, M; Pan, LL; Konopka, P; Honomichl, SB; Kinnison, DE; Apel, EC"	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES	5
"Hemmerich, J; Noack, S; Wiechert, W; Oldiges, M"	BIOTECHNOLOGY JOURNAL	104
"Körner, J; Meents, J; Machtens, JP; Lampert, A"	JOURNAL OF PHYSIOLOGY-LONDON	10
"Amsellem, S; Höchenberger, R; Ohla, K"	CHEMICAL SENSES	12
"Voigtländer, B; Coenen, P; Cherepanov, V; Borgens, P; Duden, T; Tautz, FS"	REVIEW OF SCIENTIFIC INSTRUMENTS	0
"Emmerich, T; Qu, DD; Vassen, R; Aktaa, J"	FUSION ENGINEERING AND DESIGN	24
"Gálvez, LO; Rivas, N; van der Meer, D"	PHYSICAL REVIEW E	1
"Uluca, B; Viennet, T; Petrovic, D; Shaykhalishahi, H; Weirich, F; Gönülalan, A; Strodel, B; Etzkorn, M; Hoyer, W; Heise, H"	BIOPHYSICAL JOURNAL	34
"Kindsmüller, A; Schmitz, C; Wiemann, C; Skaja, K; Wouters, DJ; Waser, R; Schneider, CM; Dittmann, R"	APL MATERIALS	11
"Hermann, J; Nowotny, P; Schrader, TE; Biggel, P; Hekmat, D; Weuster-Botz, D"	ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS	7
"Gasparyan, F; Zadorozhnyi, I; Khondkaryan, H; Arakelyan, A; Vitusevich, S"	NANOSCALE RESEARCH LETTERS	10
"Genna, V; Carloni, P; De Vivo, M"	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY	20
"Kleefeld, A; Vorderwülbecke, S; Burgeth, B"	INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS	2
"Gontard, LC; Barroso-Bogeat, A; Dunin-Borkowski, RE; Calvino, JJ"	ULTRAMICROSCOPY	2
"Cagnoni, M; Führen, D; Wuttig, M"	ADVANCED MATERIALS	83
"Nöh, K; Niedenführ, S; Beyss, M; Wiechert, W"	PLOS COMPUTATIONAL BIOLOGY	16
"Ulfig, A; Freudl, R"	JOURNAL OF BIOLOGICAL CHEMISTRY	5
"Hosseinkhani, A; Catelani, G"	PHYSICAL REVIEW B	15
"Hammes, J; Hohberg, M; Täger, P; Wild, M; Zlatopolskiy, B; Krapf, P; Neumaier, B; Schömacker, K; Kobe, C; Schmidt, M; Dietlein, M; Drzezga, A"	PLOS ONE	11
"Pallast, N; Wieters, F; Nill, M; Fink, GR; Aswendt, M"	DATABASE-THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION	8
Plesser, HE	FRONTIERS IN NEUROINFORMATICS	223
"Scheffczyk, J; Schäfer, P; Fleitmann, L; Thien, J; Redepenning, C; Leonhard, K; Marquardt, W; Bardow, A"	MOLECULAR SYSTEMS DESIGN & ENGINEERING	35
"Aznar, M; Roca-Bonet, S; Reguera, D"	JOURNAL OF PHYSICS-CONDENSED MATTER	17
"Reiners, M; Margreiter, MA; Oslender-Bujotzek, A; Rossetti, G; Gründer, S; Schmidt, A"	MOLECULAR PHARMACOLOGY	15
"Talke, A; Misz, U; Konrad, G; Heinzel, A; Klemp, D; Wegener, R"	JOURNAL OF POWER SOURCES	21
"Grube, T; Stolten, D"	ENERGIES	11
"Gutzen, R; von Papen, M; Trensch, G; Quaglio, P; Grün, S; Denker, M"	FRONTIERS IN NEUROINFORMATICS	20
"Genster, C; Schever, M; Ludhova, L; Soiron, M; Stahl, A; Wiebusch, C"	JOURNAL OF INSTRUMENTATION	3
"Rösener, NS; Gremer, L; Reinartz, E; König, A; Brener, O; Heise, H; Hoyer, W; Neudecker, P; Willbold, D"	JOURNAL OF BIOLOGICAL CHEMISTRY	18
"Wormit, A; Usadel, B"	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	141
"Unverricht-Yeboah, M; Giesen, U; Kriehuber, R"	JOURNAL OF RADIATION RESEARCH	8
"Ryberg, DS; Robinius, M; Stolten, D"	ENERGIES	46
"Winkler, F; Barthel, J; Tavabi, AH; Borghardt, S; Kardynal, BE; Dunin-Borkowski, RE"	PHYSICAL REVIEW LETTERS	17
